Message size (B); Num iterations; Total time (s)
1;100000;0.985063
100;100000;1.024570
200;100000;1.049541
300;100000;1.073147
400;100000;1.104792
500;100000;1.115409
600;100000;1.147642
700;100000;1.188659
800;100000;1.205283
900;100000;1.243636
1024;100000;1.265325
2048;100000;1.584498
3072;100000;1.876930
4096;100000;2.209740
5120;100000;2.480939
6144;100000;2.785544
7168;100000;3.069291
8192;100000;3.433082
9216;100000;3.707160
10240;100000;4.004957
11264;100000;4.302430
12288;100000;4.609431
13312;100000;4.873229
14336;100000;5.204355
15360;100000;5.487676
16384;100000;5.846176
17408;100000;6.135294
18432;100000;6.447878
19456;100000;6.728686
20480;100000;7.030363
21504;100000;7.309128
22528;100000;7.628255
23552;100000;7.921502
24576;100000;8.206753
25600;100000;8.516406
26624;100000;8.779225
27648;100000;9.134476
28672;100000;9.415524
29696;100000;9.690816
30720;100000;9.975760
31744;100000;10.283231
32768;100000;10.720328
